,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
1014,Marvin Vettori,,100,1,0,0,1.0,1,1,70,29,0.41,0,99,144,1,1,0,23,182.88,Southpaw,187.96,185,0,1
1015,Alex Garcia,,-220,3,2,0,0.5,2,1,29,14,0.48,1,19,34,0,2,0,29,175.26,Orthodox,182.88,170,1,0
1016,Niko Price,,135,0,0,0,0.25,4,1,16,6,0.37,0,18,30,2,2,0,27,182.88,Orthodox,193.04,170,0,0
1017,Michelle Waterson,11.0,-110,1,0,0,1.0,1,1,17,12,0.7,0,13,18,2,1,0,30,160.02,Orthodox,157.48,115,0,1
1018,Mickey Gall,,-160,2,0,0,1.0,2,2,18,9,0.5,1,29,40,3,4,0,24,187.96,Switch,187.96,170,0,2
1019,Brad Pickett,,280,5,7,0,1.0,1,1,65,18,0.27,0,20,67,0,0,1,38,167.64,Orthodox,172.72,135,1,1
1020,Mike Perry,,-145,2,0,0,0.0,0,0,90,37,0.41,0,37,90,0,0,0,25,177.8,Orthodox,180.34,170,2,0
1021,Paul Craig,,190,0,0,0,0.5,2,1,49,31,0.63,0,57,75,3,3,0,29,190.5,Orthodox,193.04,205,0,0
1022,Mizuto Hirota,,-105,0,3,0,0.85,7,6,114,57,0.5,0,165,242,0,6,0,35,170.18,Orthodox,170.18,155,0,0
1023,Colby Covington,,-360,5,1,0,0.7,17,12,141,76,0.53,0,96,167,0,3,0,28,180.34,Orthodox,182.88,170,2,2
1024,Alex Morono,,115,1,0,0,0.0,3,0,186,111,0.59,0,112,187,0,0,0,26,180.34,Orthodox,182.88,170,0,0
1025,Scott Holtzman,,168,2,1,0,0.75,4,3,179,65,0.36,0,96,215,0,1,0,33,175.26,Orthodox,175.26,155,0,1
1026,Irene Aldana,,-310,0,0,0,1.0,1,1,256,108,0.42,0,108,256,0,0,0,28,175.26,Orthodox,172.72,135,0,0
1027,Takeya Mizugaki,14.0,150,8,5,0,0.0,0,0,40,13,0.32,0,13,40,0,0,0,33,170.18,Orthodox,172.72,135,1,0
