,fighter,rank,odds,wins,losses,draw,td_pct,td_attempted,td_landed,sig_str_attempted,sig_str_landed,sig_str_pct,kd,tot_str_landed,tot_str_attempted,sub_attempts,pass,rev,age,Height_cms,Stance,Reach_cms,Weight_lbs,win_by_KO/TKO,win_by_Submission
146,Aleksei Oleinik,9.0,130,6,3,0,0.0,0,0,3,1,0.33,0,1,3,0,0,0,42,187.96,Orthodox,203.2,240,1,5
147,Greg Hardy,,-105,1,1,0,0.0,0,0,38,36,0.94,0,36,38,0,0,0,30,195.58,Orthodox,203.2,265,1,0
148,James Vick,15.0,105,9,3,0,0.0,0,0,23,7,0.3,0,7,23,0,0,0,32,190.5,Orthodox,193.04,155,2,3
149,Alexander Hernandez,13.0,-250,2,1,0,0.0,1,0,91,25,0.27,0,26,92,0,0,0,26,175.26,Orthodox,182.88,155,1,0
150,Andrei Arlovski,,155,18,16,0,0.0,0,0,263,152,0.57,0,160,272,0,0,0,40,190.5,Orthodox,195.58,240,11,2
151,Alex Caceres,,-115,9,10,0,0.0,0,0,197,94,0.47,0,95,198,0,0,0,31,177.8,Southpaw,185.42,145,1,2
152,Raquel Pennington,6.0,115,6,4,0,0.16,6,1,137,47,0.34,0,86,181,0,1,0,30,170.18,Orthodox,170.18,135,0,2
153,Sam Alvey,,145,10,7,0,0.0,1,0,77,28,0.36,0,67,117,0,0,1,33,187.96,Southpaw,190.5,205,5,1
154,Roxanne Modafferi,5.0,110,2,5,0,0.0,9,0,110,29,0.26,0,76,161,0,0,0,36,170.18,Orthodox,175.26,125,1,0
155,Ray Borg,,-185,5,4,0,0.66,9,6,23,15,0.65,0,23,34,1,7,1,25,162.56,Orthodox,160.02,135,0,2
156,Mario Bautista,,150,0,1,0,0.0,2,0,248,129,0.52,0,179,301,0,0,0,26,175.26,Switch,175.26,135,0,0
157,Domingo Pilarte,,-400,0,0,0,0.4,5,2,21,11,0.52,0,69,89,1,1,1,29,182.88,Southpaw,185.42,135,0,0
158,Max Holloway,0.0,-335,16,4,0,0.0,0,0,328,129,0.39,0,131,330,0,0,0,27,180.34,Orthodox,175.26,145,9,2
159,Geoff Neal,,-335,3,0,0,0.5,4,2,61,41,0.67,0,53,73,0,2,0,28,180.34,Southpaw,190.5,170,1,1
160,Olivier Aubin-Mercier,,145,7,4,0,0.0,3,0,48,23,0.47,0,36,61,0,0,0,30,175.26,Southpaw,177.8,155,1,4
161,Alexis Davis,8.0,165,8,5,0,0.0,4,0,137,68,0.49,0,134,213,0,0,1,34,167.64,Orthodox,172.72,125,1,1
162,Hakeem Dawodu,,-440,2,1,0,0.0,0,0,154,80,0.51,1,89,166,0,0,0,28,172.72,Orthodox,185.42,145,0,0
163,Alexandre Pantoja,3.0,-140,5,1,0,0.2,10,2,151,61,0.4,0,68,160,0,0,0,29,165.1,Orthodox,170.18,125,1,2
164,Gillian Robertson,,-150,3,1,0,0.66,3,2,42,29,0.69,0,51,64,0,4,0,24,165.1,Orthodox,160.02,125,0,3
165,Erik Koch,,-140,7,6,0,0.36,11,4,63,37,0.58,0,67,99,0,4,0,30,177.8,Southpaw,180.34,170,3,2
166,Valentina Shevchenko,0.0,-1100,6,2,0,1.0,1,1,115,42,0.36,0,84,159,0,3,0,31,165.1,Southpaw,167.64,125,1,1
167,Volkan Oezdemir,7.0,-190,3,3,0,0.0,0,0,137,64,0.46,2,92,166,0,0,0,29,187.96,Orthodox,190.5,205,2,0
168,Rodolfo Vieira,,-225,0,0,0,0.42,7,3,39,18,0.46,0,37,62,1,4,0,29,182.88,Orthodox,185.42,185,0,0
169,Enrique Barzola,,-165,5,2,0,0.42,7,3,239,83,0.34,0,88,244,0,0,0,30,170.18,Orthodox,177.8,145,0,0
170,Gilbert Burns,,120,8,3,0,0.42,7,3,83,42,0.5,0,63,107,0,2,0,33,177.8,Orthodox,180.34,155,2,4
171,Tecia Torres,8.0,-160,6,4,0,0.0,7,0,108,41,0.37,0,58,126,0,0,0,29,154.94,Orthodox,152.4,115,0,1
172,Rogerio Bontorin,7.0,100,1,0,0,0.4,5,2,15,8,0.53,0,8,16,0,1,0,27,165.1,Orthodox,170.18,125,0,0
173,Geraldo de Freitas,,-175,1,0,0,0.28,7,2,112,40,0.35,0,57,134,0,4,0,27,170.18,Orthodox,182.88,135,0,0
174,Kazula Vargas,,240,0,0,0,0.0,1,0,42,20,0.47,0,59,92,0,0,1,33,172.72,Southpaw,180.34,155,0,0
175,Veronica Macedo,,-130,0,3,0,0.0,0,0,1,1,1.0,0,1,1,1,0,1,23,162.56,Southpaw,162.56,125,0,0
176,Daniel Cormier,0.0,-145,19,1,0,0.33,3,1,263,181,0.68,0,230,317,0,2,0,40,180.34,Orthodox,182.88,235,8,4
177,Anthony Pettis,7.0,-120,14,8,0,0.0,0,0,133,69,0.51,0,86,153,1,0,2,32,177.8,Orthodox,182.88,155,4,7
178,Yoel Romero,2.0,-165,9,2,0,0.25,4,1,284,125,0.44,1,125,284,0,0,0,42,182.88,Orthodox,185.42,185,7,0
179,Gabriel Benitez,,235,5,2,0,0.0,0,0,72,24,0.33,0,24,72,0,0,0,31,172.72,Southpaw,180.34,145,1,2
180,Derek Brunson,8.0,140,13,6,0,0.2,10,2,185,81,0.43,0,102,207,0,1,0,35,185.42,Southpaw,195.58,185,6,2
181,Devonte Smith,,-1000,2,0,0,0.0,0,0,27,15,0.55,0,15,27,0,0,0,26,175.26,Orthodox,193.04,155,2,0
182,Raphael Assuncao,3.0,220,14,5,0,0.66,6,4,81,45,0.55,0,65,103,0,0,0,37,165.1,Orthodox,167.64,135,2,1
183,Christos Giagos,,165,3,3,0,0.4,5,2,155,87,0.56,0,113,186,1,2,0,29,177.8,Orthodox,180.34,155,0,1
184,Manny Bermudez,,-170,3,0,0,0.75,4,3,59,37,0.62,0,59,83,0,6,1,25,177.8,Orthodox,180.34,145,0,3
185,Hannah Cifers,,-290,1,1,0,1.0,1,1,164,70,0.42,0,112,207,1,0,0,27,154.94,Orthodox,157.48,115,0,0
186,Kyung Ho Kang,,-190,4,2,0,0.5,6,3,101,50,0.49,1,120,180,0,3,0,31,175.26,Orthodox,185.42,135,0,3
187,Sabina Mazo,,-145,0,1,0,1.0,4,4,171,108,0.63,0,170,250,0,3,0,22,170.18,Orthodox,177.8,125,0,0
188,Kai Kara-France,,-185,2,0,0,1.0,1,1,193,91,0.47,1,93,195,0,0,0,26,162.56,Orthodox,175.26,125,0,0
189,Junyong Park,,125,0,0,0,0.0,0,0,148,81,0.54,0,84,152,0,0,0,28,177.8,Orthodox,185.42,185,0,0
190,Su Mudaerji,,140,0,1,0,1.0,1,1,157,93,0.59,0,103,168,0,3,0,23,172.72,Southpaw,182.88,135,0,0
191,Damir Ismagulov,,-220,2,0,0,0.0,5,0,188,71,0.37,1,73,191,0,0,0,28,175.26,Orthodox,177.8,155,0,0
192,Heili Alateng,,-120,0,0,0,0.42,7,3,89,36,0.4,0,63,133,0,2,0,27,165.1,Orthodox,167.64,135,0,0
193,Karol Rosa,,-115,0,0,0,0.0,0,0,351,171,0.48,1,177,358,0,0,0,24,165.1,Orthodox,170.18,135,0,0
194,Donald Cerrone,4.0,160,29,12,0,0.0,0,0,52,17,0.32,0,17,52,0,0,0,36,185.42,Orthodox,185.42,155,10,10
195,Glover Teixeira,9.0,-115,15,6,0,0.16,6,1,71,43,0.6,0,85,119,2,4,2,39,187.96,Orthodox,193.04,205,7,6
196,Michel Pereira,,-460,1,0,0,0.4,5,2,75,32,0.42,0,56,107,0,0,0,25,185.42,Orthodox,185.42,170,1,0
197,Uriah Hall,12.0,230,7,7,0,0.0,0,0,79,34,0.43,1,41,86,0,1,0,35,182.88,Orthodox,200.66,185,6,0
198,Misha Cirkunov,15.0,-105,5,3,0,0.5,2,1,10,6,0.6,0,22,29,1,4,2,32,190.5,Orthodox,195.58,205,1,4
199,Marcin Tybura,14.0,105,4,4,0,0.0,0,0,7,6,0.85,0,6,7,0,0,0,33,190.5,Orthodox,198.12,249,2,0
200,Cole Smith,,115,1,0,0,0.16,6,1,57,11,0.19,0,26,75,0,2,0,30,180.34,Orthodox,170.18,135,0,0
201,Brad Katona,,-130,2,1,0,0.25,12,3,60,21,0.35,0,40,83,0,1,0,27,167.64,Orthodox,162.56,135,0,0
202,Chas Skelly,,145,6,4,0,0.33,3,1,59,21,0.35,0,80,125,3,3,1,34,180.34,Orthodox,182.88,145,1,4
203,Louis Smolka,,-230,6,6,0,0.0,0,0,115,59,0.51,1,60,116,0,0,0,28,175.26,Orthodox,172.72,135,2,2
204,Kyle Prepolec,,120,0,1,0,0.0,1,0,122,44,0.36,0,46,124,0,0,0,30,177.8,Southpaw,177.8,170,0,0
205,Carla Esparza,8.0,125,5,4,0,0.36,11,4,80,44,0.55,0,115,157,0,1,1,31,154.94,Orthodox,160.02,115,0,1
206,Irene Aldana,10.0,-525,3,3,0,0.0,0,0,333,125,0.37,0,127,335,0,0,0,31,175.26,Orthodox,172.72,135,0,1
207,Martin Bravo,,-145,1,2,0,0.4,5,2,199,86,0.43,0,93,206,0,0,0,26,172.72,Southpaw,180.34,145,1,0
208,Jose Quinonez,,-150,4,2,0,0.4,5,2,117,60,0.51,1,71,130,0,2,0,29,172.72,Orthodox,175.26,135,0,1
209,Marco Polo Reyes,,-105,4,3,0,0.0,0,0,10,6,0.6,0,7,11,0,0,0,34,180.34,Orthodox,180.34,155,3,0
210,Ariane Carnelossi,,-115,0,0,0,0.0,1,0,186,72,0.38,0,83,197,0,0,0,26,157.48,Orthodox,154.94,115,0,0
